A1,A2,A3,A4,A5,A6,A7,A8,Class
0.7213416419221279,0.4176874503039963,0.16504291238441007,0.015627167941209236,0.013382186556334871,0.11368056542561854,0.29498574365899805,0.06388987265127309,0
0.5176278700179834,0.4609084096164337,0.23541516392945033,0.01826776354220743,0.006559968830055389,0.07252430110627058,0.3640148338795587,0.10844338749328611,0
0.5203462841370081,0.1968683163412594,0.22113842423544097,0.040676888356435334,0.013030023751041665,0.13918842885084276,0.28862386953780683,0.05461030710273594,0
0.7009326251516038,0.4378837729158564,0.1817495856424029,0.01653440569585437,0.015367785346512293,0.13158336518386693,0.2663483163113473,0.04658144995316257,0
0.4438542930032202,0.21484740381783035,0.24904418933273553,0.041711709262821424,0.004327106796658966,0.03968448589833756,0.4620289782542065,0.21336883109971755,0
0.4697837815231483,0.2962707662536617,0.24211029977387458,0.03159960302940131,0.00637639460090624,0.06947340496819053,0.3652160739150607,0.11179669772063339,0
0.6085065451047635,0.32419987311148085,0.19179176796892322,0.024032538400353336,0.0035216280439706775,0.018486948737903755,0.5930473818735872,0.403807629457826,0
0.6668478942746017,0.2036569587659373,0.1727095353054417,0.031210716137182532,0.004514427436819033,0.06786470787284064,0.4426517491650069,0.16782661838961388,0
0.5430136757141065,0.376384476066331,0.23414523413164806,0.028074615615424018,0.009493410058546606,0.0689096387497493,0.3222016875481238,0.09216389445089292,0
0.5430554974697838,0.19896054037776484,0.23547185339869564,0.04227521556390526,0.017323412830679535,0.17052079553451138,0.2796336881659984,0.05009457247373598,0
0.7294550625235248,0.2772179280405663,0.15642024610371352,0.029700018713945578,0.023134099100094657,0.20953900129278819,0.24457941098804242,0.03336890974203512,0
0.6822383003638492,0.26060016190462004,0.1804781380778147,0.027287906265717903,0.006357662536890234,0.04490455752070539,0.40105338784796335,0.16556923449567204,0
0.6913554431015014,0.3348646581729841,0.17502403423421795,0.02448605650293687,0.04697252378389147,0.3289534852581431,0.1866605405622183,0.01350249911006559,0
0.6002676592363347,0.28017041911630297,0.22135049923955175,0.03510119207558224,0.011752496982461582,0.1524900392309197,0.3206678794733047,0.07079139828152377,0
0.7085860064405504,0.36148592872553126,0.18542583991308806,0.02630692340700227,0.02740875611571652,0.2343904107377736,0.22015404910557762,0.023571507764795194,0
0.5811132951361299,0.3671777249899059,0.17912687397831767,0.021517047051328807,0.011314166683590882,0.09510302595574739,0.32351827936771915,0.08264099947331416,0
0.5558111329513613,0.32761297386442817,0.2024674761060954,0.021964646735828205,0.005803193442912577,0.04553489100567554,0.438099347510713,0.18895187523325202,0
0.5087616578143951,0.3644456284564626,0.2282278809182244,0.025476547083067024,0.011774975461969213,0.13813401484103144,0.30365659772221987,0.06166195536570285,0
0.6974195976747104,0.36373600554208335,0.18401248210922097,0.02174836601827565,0.04090708146715835,0.29752530507973335,0.1986434125953715,0.017310149379846117,0
0.5008155242357074,0.22700812191407155,0.3441955368171433,0.08507216505123558,0.12251144529076877,0.5262675296059454,0.14193745636496533,0.004727376887835523,1
0.5089707665927816,0.3664302124844481,0.2517208129377657,0.0252582569800279,0.016446752232938136,0.15178236302830644,0.26785229873777305,0.04547981983387941,0
0.5333528501526494,0.2211676698537955,0.20297202130095504,0.030221772038314224,0.014959426349171065,0.12960544378950878,0.2887228708046546,0.059093090808772605,0
0.48207937769227543,0.23359832154261045,0.22144595445329762,0.03713346003081673,0.007256801614139265,0.047239791925057104,0.38187205482041164,0.15021884305792774,0
0.5971728493162143,0.393700911538807,0.214565129218687,0.019842141987412888,0.026011344136537853,0.1684457404396204,0.21091400601860988,0.023051217652571156,0
0.5397934005269541,0.4269217276091352,0.22667123034488257,0.021826267187902357,0.009961711663427481,0.10685337874708402,0.3322246207570778,0.08284915269911321,0
0.5722889046882188,0.34495755213000806,0.21672062068512762,0.02379155551722714,0.03615288360914214,0.2947521630428674,0.20783653523167955,0.019491716549416005,0
0.6693571996152399,0.37376011155989325,0.20296628264434435,0.0259075768594601,0.010902061275238736,0.08021556276591103,0.33449389766872667,0.09861887870847745,0
0.6082556145706997,0.37973196223415256,0.18837219395275367,0.019050777927839515,0.009643266570674658,0.08838425999165857,0.32239668833924656,0.08108502228715864,0
0.6284555225628372,0.35545309114469864,0.20666443448402147,0.023100869792887644,0.008485625012693163,0.09248742589449722,0.35084697110496144,0.09600812830968822,0
