V1,V2,V3,V4,V5,Class
0.5062864538461516,0.3859464170209109,0.3220865503524494,0.3410247261169339,0.33750361475998353,0
0.3390077189508095,0.46960052939730335,0.569034209691754,0.28352392355567896,0.3749836607815762,0
0.5625786897333134,0.3847031806801013,0.6217415732511083,0.5950474740288286,0.4605479595066354,0
0.3409044058560985,0.4061216336847532,0.8716405456907161,0.19128451013396264,0.3207991456008784,0
0.3456424261621533,0.45568132454346044,0.8917098801729291,0.1440438386432521,0.2040995224849934,0
0.4581976180357091,0.3574238842199982,0.33450119288994473,0.3793954689271419,0.30563361871303185,0
0.7992151507811375,0.3477946950475813,0.6602516392447249,0.2836287626385322,0.2899981550523883,0
0.3617939883927376,0.43581639484732687,0.774009501473906,0.20226315043613055,0.24384282886982073,0
0.3322385903768501,0.539047973945442,0.48909980343620857,0.41757750138821403,0.3207991456008784,0
0.3449678054182013,0.33932341329985416,0.4573372544127346,0.6826266094606789,0.11817687540075122,1
0.34758599048432803,0.37479025794394305,0.5258550395937743,0.5450551381272992,0.5356752903707396,1
0.40561727502315037,0.4173869899061262,0.6360485131304503,0.19448662108697162,0.7630266171440354,1
0.31085539011918695,0.3335489429955104,0.4311071275427573,0.5471990973716481,0.3207991456008784,1
0.38596868706854665,0.6086565290345063,0.2511090918907624,0.3070696970222808,0.2856837385914867,1
0.5346159408652478,0.5010481135745775,0.45773104537772885,0.7219808513222739,0.21480309462280453,0
0.3844276474427852,0.5767233755880534,0.2921772328380757,0.4021079524420999,0.2902536867675842,0
0.31147115530503006,0.3140696343626109,0.6222035451506126,0.6038841434140811,0.23362630564555406,0
0.431804005667879,0.6229631450687046,0.2522219153056432,0.3077343406561625,0.36098592965012,0
0.47180049799491836,0.6307388171383426,0.7012208257006006,0.2749804420883367,0.2789534904956438,1
0.3472448352768977,0.4709607200567109,0.7584660911335854,0.2171056532125587,0.4448590024312182,0
0.3161699878651078,0.36167556155974095,0.7306807018655963,0.6022978196362879,0.21476570675226378,0
0.3845804057129523,0.685050373895796,0.2443840562017286,0.30723780106892484,0.28995760359280176,0
0.31882336796347055,0.3451224977146171,0.6524600326125994,0.6493949700377132,0.14184972463114348,1
0.38454550643728974,0.6076170676926822,0.4880898042414807,0.4135542112052012,0.2959326167037214,0
0.3961702185552351,0.47889765184370126,0.8562364455841512,0.19970778817010248,0.25279463547329517,1
0.41321008565406125,0.6350174954113331,0.4963516750489291,0.4501448586913769,0.22322413726410228,0
0.3994090487906662,0.6250088014091801,0.27985988633685405,0.3170203720413688,0.28950219056971493,0
0.31197689904556397,0.2850393050049288,0.44327521307924084,0.5163581505518151,0.3207991456008784,0
